"","Transcript","Gene"
"226","ENST00000406620.5"," UBE2I"
"227","ENST00000462856.6"," FYN"
"228","ENST00000349496.10"," CTNNB1"
"229","ENST00000496250.5"," MAPK14"
"230","ENST00000490379.1"," MAPK14"
"231","ENST00000642825.1"," AHR"
"232","ENST00000496864.6"," FYN"
"233","ENST00000422579.1"," MADD"
"234","ENST00000524310.5"," FYN"
"235","ENST00000346473.7"," DDIT3"
"236","ENST00000515802.5"," SH3BP2"
"237","ENST00000643052.1"," CTNNB1"
"238","ENST00000468133.5"," MAPK14"
"239","ENST00000645247.1"," PTPRC"
"240","ENST00000450969.6"," CTNNB1"
"241","ENST00000642315.1"," CTNNB1"
"242","ENST00000426557.5"," MAPK8"
"243","ENST00000529588.5"," ATM"
"244","ENST00000527389.2"," ATM"
"245","ENST00000647988.1"," PLAGL1"
"246","ENST00000397514.7"," UBE2I"
"247","ENST00000530958.5"," ATM"
"248","ENST00000391970.3"," PTPRC"
"249","ENST00000379780.6"," CETP"
"250","ENST00000520212.6"," MAPK9"
"251","ENST00000379780.6"," CETP"
"252","ENST00000518630.5"," FYN"
"253","ENST00000492120.1"," AHR"
"254","ENST00000517419.5"," FYN"
"255","ENST00000200676.7"," CETP"
"256","ENST00000400777.7"," CASP9"
"257","ENST00000372276.7"," CD40"
"258","ENST00000471959.2"," FYN"
"259","ENST00000200676.7"," CETP"
"260","ENST00000496864.6"," FYN"
"261","ENST00000485265.2"," CTNNB1"
"262","ENST00000642825.1"," AHR"
"263","ENST00000523322.5"," FYN"
"264","ENST00000452135.6"," MAPK9"
"265","ENST00000510204.5"," SH3BP2"
"266","ENST00000342922.8"," MADD"
"267","ENST00000539014.5"," MAPK9"
"268","ENST00000546424.5"," CASP9"
"269","ENST00000453024.6"," CTNNB1"
"270","ENST00000521062.5"," FYN"
"271","ENST00000374179.8"," MAPK8"
"272","ENST00000531525.2"," ATM"
"273","ENST00000524310.5"," FYN"
"274","ENST00000467899.5"," FYN"
"275","ENST00000491957.5"," MAPK14"
"276","ENST00000546424.5"," CASP9"
"277","ENST00000347470.8"," MAPK9"
"278","ENST00000645247.1"," PTPRC"
"279","ENST00000405573.2"," MADD"
"280","ENST00000426557.5"," MAPK8"
"281","ENST00000422579.1"," MADD"
"282","ENST00000396183.7"," CTNNB1"
"283","ENST00000489304.5"," CD40"
"284","ENST00000360537.6"," PLAGL1"
"285","ENST00000496250.5"," MAPK14"
